LineItem [description=A+, amount=135.0, type=Expense, date=Tue Sep 01 00:00:00 HST 2015] CalculatedFields [balance=30135.0, accruedInterest=3.2859534246575346, runningAccruedInterest=3.2859534246575346]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Tue Nov 03 00:00:00 HST 2015] CalculatedFields [balance=27548.0, accruedInterest=0.0, runningAccruedInterest=103.64639671232878]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Tue Nov 03 00:00:00 HST 2015] CalculatedFields [balance=30108.0, accruedInterest=3.2830093150684934, runningAccruedInterest=106.92940602739728]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Thu Nov 05 00:00:00 HST 2015] CalculatedFields [balance=27615.0, accruedInterest=6.022339726027398, runningAccruedInterest=112.95174575342467]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Mon Nov 09 00:00:00 HST 2015] CalculatedFields [balance=31615.0, accruedInterest=6.894668493150686, runningAccruedInterest=119.84641424657536]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Nov 13 00:00:00 HST 2015] CalculatedFields [balance=30190.0, accruedInterest=3.291950684931507, runningAccruedInterest=123.13836493150687]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Sun Nov 15 00:00:00 HST 2015] CalculatedFields [balance=30440.0, accruedInterest=8.298027397260274, runningAccruedInterest=131.43639232876714]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Nov 20 00:00:00 HST 2015] CalculatedFields [balance=27947.0, accruedInterest=7.618428767123289, runningAccruedInterest=139.05482109589042]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Wed Nov 25 00:00:00 HST 2015] CalculatedFields [balance=28077.0, accruedInterest=3.061546849315069, runningAccruedInterest=142.1163679452055]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Nov 27 00:00:00 HST 2015] CalculatedFields [balance=26652.0, accruedInterest=5.812326575342467, runningAccruedInterest=147.92869452054796]
LineItem [description=A+, amount=135.0, type=Expense, date=Tue Dec 01 00:00:00 HST 2015] CalculatedFields [balance=26787.0, accruedInterest=2.9208838356164386, runningAccruedInterest=150.84957835616441]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Dec 03 00:00:00 HST 2015] CalculatedFields [balance=26907.0, accruedInterest=0.0, runningAccruedInterest=150.84957835616441]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Thu Dec 03 00:00:00 HST 2015] CalculatedFields [balance=29467.0, accruedInterest=3.21311397260274, runningAccruedInterest=154.06269232876716]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Dec 05 00:00:00 HST 2015] CalculatedFields [balance=26974.0, accruedInterest=5.882549041095891, runningAccruedInterest=159.94524136986306]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Dec 09 00:00:00 HST 2015] CalculatedFields [balance=30974.0, accruedInterest=3.3774389041095896, runningAccruedInterest=163.32268027397265]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Dec 11 00:00:00 HST 2015] CalculatedFields [balance=29549.0, accruedInterest=6.444110684931507, runningAccruedInterest=169.76679095890415]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Dec 15 00:00:00 HST 2015] CalculatedFields [balance=29799.0, accruedInterest=8.123289041095891, runningAccruedInterest=177.89008000000004]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Dec 20 00:00:00 HST 2015] CalculatedFields [balance=27306.0, accruedInterest=7.443690410958905, runningAccruedInterest=185.33377041095895]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Dec 25 00:00:00 HST 2015] CalculatedFields [balance=27436.0, accruedInterest=0.0, runningAccruedInterest=185.33377041095895]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Dec 25 00:00:00 HST 2015] CalculatedFields [balance=26011.0, accruedInterest=9.92693780821918, runningAccruedInterest=195.26070821917813]
LineItem [description=A+, amount=135.0, type=Expense, date=Fri Jan 01 00:00:00 HST 2016] CalculatedFields [balance=26146.0, accruedInterest=2.8509884931506853, runningAccruedInterest=198.1116967123288]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sun Jan 03 00:00:00 HST 2016] CalculatedFields [balance=26266.0, accruedInterest=0.0, runningAccruedInterest=198.1116967123288]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sun Jan 03 00:00:00 HST 2016] CalculatedFields [balance=28826.0, accruedInterest=3.1432186301369867, runningAccruedInterest=201.2549153424658]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Jan 05 00:00:00 HST 2016] CalculatedFields [balance=26333.0, accruedInterest=4.307068767123289, runningAccruedInterest=205.5619841095891]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jan 08 00:00:00 HST 2016] CalculatedFields [balance=24908.0, accruedInterest=1.3579978082191781, runningAccruedInterest=206.9199819178083]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sat Jan 09 00:00:00 HST 2016] CalculatedFields [balance=28908.0, accruedInterest=9.45648, runningAccruedInterest=216.37646191780829]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Fri Jan 15 00:00:00 HST 2016] CalculatedFields [balance=29158.0, accruedInterest=7.948550684931508, runningAccruedInterest=224.3250126027398]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Jan 20 00:00:00 HST 2016] CalculatedFields [balance=26665.0, accruedInterest=2.9075808219178083, runningAccruedInterest=227.2325934246576]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jan 22 00:00:00 HST 2016] CalculatedFields [balance=25240.0, accruedInterest=4.128295890410959, runningAccruedInterest=231.36088931506856]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Mon Jan 25 00:00:00 HST 2016] CalculatedFields [balance=25370.0, accruedInterest=9.682304109589042, runningAccruedInterest=241.0431934246576]
LineItem [description=A+, amount=135.0, type=Expense, date=Mon Feb 01 00:00:00 HST 2016] CalculatedFields [balance=25505.0, accruedInterest=2.781093150684932, runningAccruedInterest=243.82428657534254]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Wed Feb 03 00:00:00 HST 2016] CalculatedFields [balance=25625.0, accruedInterest=0.0, runningAccruedInterest=243.82428657534254]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Wed Feb 03 00:00:00 HST 2016] CalculatedFields [balance=28185.0, accruedInterest=3.0733232876712333, runningAccruedInterest=246.89760986301377]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Feb 05 00:00:00 HST 2016] CalculatedFields [balance=25692.0, accruedInterest=0.0, runningAccruedInterest=246.89760986301377]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Feb 05 00:00:00 HST 2016] CalculatedFields [balance=24267.0, accruedInterest=5.292200547945206, runningAccruedInterest=252.18981041095898]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Tue Feb 09 00:00:00 HST 2016] CalculatedFields [balance=28267.0, accruedInterest=9.246793972602742, runningAccruedInterest=261.4366043835617]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Mon Feb 15 00:00:00 HST 2016] CalculatedFields [balance=28517.0, accruedInterest=6.2190498630137, runningAccruedInterest=267.6556542465754]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Feb 19 00:00:00 HST 2016] CalculatedFields [balance=27092.0, accruedInterest=1.477070684931507, runningAccruedInterest=269.1327249315069]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Feb 20 00:00:00 HST 2016] CalculatedFields [balance=24599.0, accruedInterest=6.705754794520549, runningAccruedInterest=275.83847972602746]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Thu Feb 25 00:00:00 HST 2016] CalculatedFields [balance=24729.0, accruedInterest=6.741193150684932, runningAccruedInterest=282.5796728767124]
LineItem [description=A+, amount=135.0, type=Expense, date=Tue Mar 01 00:00:00 HST 2016] CalculatedFields [balance=24864.0, accruedInterest=2.7111978082191786, runningAccruedInterest=285.2908706849316]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Mar 03 00:00:00 HST 2016] CalculatedFields [balance=24984.0, accruedInterest=0.0, runningAccruedInterest=285.2908706849316]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Thu Mar 03 00:00:00 HST 2016] CalculatedFields [balance=27544.0, accruedInterest=1.50171397260274, runningAccruedInterest=286.7925846575343]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Mar 04 00:00:00 HST 2016] CalculatedFields [balance=26119.0, accruedInterest=1.424022191780822, runningAccruedInterest=288.2166068493151]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Mar 05 00:00:00 HST 2016] CalculatedFields [balance=23626.0, accruedInterest=5.152409863013699, runningAccruedInterest=293.3690167123288]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Mar 09 00:00:00 HST 2016] CalculatedFields [balance=27626.0, accruedInterest=9.03710794520548, runningAccruedInterest=302.4061246575343]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Mar 15 00:00:00 HST 2016] CalculatedFields [balance=27876.0, accruedInterest=4.559444383561644, runningAccruedInterest=306.96556904109593]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Mar 18 00:00:00 HST 2016] CalculatedFields [balance=26451.0, accruedInterest=2.8842460273972605, runningAccruedInterest=309.84981506849317]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Mar 20 00:00:00 HST 2016] CalculatedFields [balance=23958.0, accruedInterest=6.531016438356165, runningAccruedInterest=316.38083150684935]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Mar 25 00:00:00 HST 2016] CalculatedFields [balance=24088.0, accruedInterest=9.193036712328768, runningAccruedInterest=325.5738682191781]
LineItem [description=A+, amount=135.0, type=Expense, date=Fri Apr 01 00:00:00 HST 2016] CalculatedFields [balance=24223.0, accruedInterest=0.0, runningAccruedInterest=325.5738682191781]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 01 00:00:00 HST 2016] CalculatedFields [balance=22798.0, accruedInterest=2.4859189041095893, runningAccruedInterest=328.0597871232877]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sun Apr 03 00:00:00 HST 2016] CalculatedFields [balance=22918.0, accruedInterest=0.0, runningAccruedInterest=328.0597871232877]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sun Apr 03 00:00:00 HST 2016] CalculatedFields [balance=25478.0, accruedInterest=2.7781490410958907, runningAccruedInterest=330.8379361643836]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Apr 05 00:00:00 HST 2016] CalculatedFields [balance=22985.0, accruedInterest=5.0126191780821925, runningAccruedInterest=335.85055534246584]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sat Apr 09 00:00:00 HST 2016] CalculatedFields [balance=26985.0, accruedInterest=8.82742191780822, runningAccruedInterest=344.6779772602741]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Fri Apr 15 00:00:00 HST 2016] CalculatedFields [balance=27235.0, accruedInterest=0.0, runningAccruedInterest=344.6779772602741]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 15 00:00:00 HST 2016] CalculatedFields [balance=25810.0, accruedInterest=7.035876712328768, runningAccruedInterest=351.71385397260286]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Apr 20 00:00:00 HST 2016] CalculatedFields [balance=23317.0, accruedInterest=6.356278082191782, runningAccruedInterest=358.07013205479467]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Mon Apr 25 00:00:00 HST 2016] CalculatedFields [balance=23447.0, accruedInterest=5.113373150684932, runningAccruedInterest=363.1835052054796]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Apr 29 00:00:00 HST 2016] CalculatedFields [balance=22022.0, accruedInterest=2.40130301369863, runningAccruedInterest=365.5848082191782]
LineItem [description=A+, amount=135.0, type=Expense, date=Sun May 01 00:00:00 HST 2016] CalculatedFields [balance=22157.0, accruedInterest=2.416023561643836, runningAccruedInterest=368.00083178082207]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Tue May 03 00:00:00 HST 2016] CalculatedFields [balance=22277.0, accruedInterest=0.0, runningAccruedInterest=368.00083178082207]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Tue May 03 00:00:00 HST 2016] CalculatedFields [balance=24837.0, accruedInterest=2.7082536986301373, runningAccruedInterest=370.7090854794522]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Thu May 05 00:00:00 HST 2016] CalculatedFields [balance=22344.0, accruedInterest=4.872828493150686, runningAccruedInterest=375.5819139726029]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Mon May 09 00:00:00 HST 2016] CalculatedFields [balance=26344.0, accruedInterest=5.745157260273973, runningAccruedInterest=381.32707123287685]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri May 13 00:00:00 HST 2016] CalculatedFields [balance=24919.0, accruedInterest=2.717195068493151, runningAccruedInterest=384.04426630137]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Sun May 15 00:00:00 HST 2016] CalculatedFields [balance=25169.0, accruedInterest=6.861138356164385, runningAccruedInterest=390.90540465753435]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri May 20 00:00:00 HST 2016] CalculatedFields [balance=22676.0, accruedInterest=6.181539726027397, runningAccruedInterest=397.08694438356173]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Wed May 25 00:00:00 HST 2016] CalculatedFields [balance=22806.0, accruedInterest=2.4867912328767128, runningAccruedInterest=399.57373561643846]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri May 27 00:00:00 HST 2016] CalculatedFields [balance=21381.0, accruedInterest=5.8285191780821926, runningAccruedInterest=405.4022547945207]
LineItem [description=A+, amount=135.0, type=Expense, date=Wed Jun 01 00:00:00 HST 2016] CalculatedFields [balance=21516.0, accruedInterest=2.3461282191780826, runningAccruedInterest=407.74838301369874]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Fri Jun 03 00:00:00 HST 2016] CalculatedFields [balance=21636.0, accruedInterest=0.0, runningAccruedInterest=407.74838301369874]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Fri Jun 03 00:00:00 HST 2016] CalculatedFields [balance=24196.0, accruedInterest=2.638358356164384, runningAccruedInterest=410.3867413698631]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Jun 05 00:00:00 HST 2016] CalculatedFields [balance=21703.0, accruedInterest=4.733037808219178, runningAccruedInterest=415.1197791780823]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Thu Jun 09 00:00:00 HST 2016] CalculatedFields [balance=25703.0, accruedInterest=1.4013416438356165, runningAccruedInterest=416.5211208219179]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jun 10 00:00:00 HST 2016] CalculatedFields [balance=24278.0, accruedInterest=6.6182493150684945, runningAccruedInterest=423.13937013698643]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Wed Jun 15 00:00:00 HST 2016] CalculatedFields [balance=24528.0, accruedInterest=6.6864, runningAccruedInterest=429.8257701369864]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Jun 20 00:00:00 HST 2016] CalculatedFields [balance=22035.0, accruedInterest=4.805441095890411, runningAccruedInterest=434.6312112328768]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jun 24 00:00:00 HST 2016] CalculatedFields [balance=20610.0, accruedInterest=1.123668493150685, runningAccruedInterest=435.75487972602747]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sat Jun 25 00:00:00 HST 2016] CalculatedFields [balance=20740.0, accruedInterest=6.7845369863013705, runningAccruedInterest=442.53941671232883]
LineItem [description=A+, amount=135.0, type=Expense, date=Fri Jul 01 00:00:00 HST 2016] CalculatedFields [balance=20875.0, accruedInterest=2.276232876712329, runningAccruedInterest=444.8156495890412]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sun Jul 03 00:00:00 HST 2016] CalculatedFields [balance=20995.0, accruedInterest=0.0, runningAccruedInterest=444.8156495890412]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sun Jul 03 00:00:00 HST 2016] CalculatedFields [balance=23555.0, accruedInterest=2.5684630136986306, runningAccruedInterest=447.38411260273983]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Jul 05 00:00:00 HST 2016] CalculatedFields [balance=21062.0, accruedInterest=3.4449353424657536, runningAccruedInterest=450.82904794520556]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 08 00:00:00 HST 2016] CalculatedFields [balance=19637.0, accruedInterest=1.0706200000000001, runningAccruedInterest=451.8996679452056]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sat Jul 09 00:00:00 HST 2016] CalculatedFields [balance=23637.0, accruedInterest=7.732213150684933, runningAccruedInterest=459.6318810958905]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Fri Jul 15 00:00:00 HST 2016] CalculatedFields [balance=23887.0, accruedInterest=6.511661643835617, runningAccruedInterest=466.1435427397261]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Jul 20 00:00:00 HST 2016] CalculatedFields [balance=21394.0, accruedInterest=2.3328252054794523, runningAccruedInterest=468.4763679452056]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 22 00:00:00 HST 2016] CalculatedFields [balance=19969.0, accruedInterest=3.266162465753425, runningAccruedInterest=471.74253041095903]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Mon Jul 25 00:00:00 HST 2016] CalculatedFields [balance=20099.0, accruedInterest=7.670659452054796, runningAccruedInterest=479.4131898630138]
LineItem [description=A+, amount=135.0, type=Expense, date=Mon Aug 01 00:00:00 HST 2016] CalculatedFields [balance=20234.0, accruedInterest=2.2063375342465754, runningAccruedInterest=481.6195273972604]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Wed Aug 03 00:00:00 HST 2016] CalculatedFields [balance=20354.0, accruedInterest=0.0, runningAccruedInterest=481.6195273972604]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Wed Aug 03 00:00:00 HST 2016] CalculatedFields [balance=22914.0, accruedInterest=2.498567671232877, runningAccruedInterest=484.1180950684933]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri Aug 05 00:00:00 HST 2016] CalculatedFields [balance=20421.0, accruedInterest=0.0, runningAccruedInterest=484.1180950684933]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Aug 05 00:00:00 HST 2016] CalculatedFields [balance=18996.0, accruedInterest=4.142689315068494, runningAccruedInterest=488.26078438356177]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Tue Aug 09 00:00:00 HST 2016] CalculatedFields [balance=22996.0, accruedInterest=7.522527123287672, runningAccruedInterest=495.78331150684943]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Mon Aug 15 00:00:00 HST 2016] CalculatedFields [balance=23246.0, accruedInterest=5.069538630136987, runningAccruedInterest=500.85285013698643]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Aug 19 00:00:00 HST 2016] CalculatedFields [balance=21821.0, accruedInterest=1.189692876712329, runningAccruedInterest=502.0425430136988]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Aug 20 00:00:00 HST 2016] CalculatedFields [balance=19328.0, accruedInterest=5.268865753424659, runningAccruedInterest=507.31140876712345]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Thu Aug 25 00:00:00 HST 2016] CalculatedFields [balance=19458.0, accruedInterest=7.426025753424659, runningAccruedInterest=514.7374345205482]
LineItem [description=A+, amount=135.0, type=Expense, date=Thu Sep 01 00:00:00 HST 2016] CalculatedFields [balance=19593.0, accruedInterest=1.068221095890411, runningAccruedInterest=515.8056556164386]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 02 00:00:00 HST 2016] CalculatedFields [balance=18168.0, accruedInterest=0.9905293150684933, runningAccruedInterest=516.796184931507]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sat Sep 03 00:00:00 HST 2016] CalculatedFields [balance=18288.0, accruedInterest=0.0, runningAccruedInterest=516.796184931507]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sat Sep 03 00:00:00 HST 2016] CalculatedFields [balance=20848.0, accruedInterest=2.273288767123288, runningAccruedInterest=519.0694736986303]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Sep 05 00:00:00 HST 2016] CalculatedFields [balance=18355.0, accruedInterest=4.002898630136987, runningAccruedInterest=523.0723723287673]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Fri Sep 09 00:00:00 HST 2016] CalculatedFields [balance=22355.0, accruedInterest=7.312841095890411, runningAccruedInterest=530.3852134246578]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Thu Sep 15 00:00:00 HST 2016] CalculatedFields [balance=22605.0, accruedInterest=1.23243698630137, runningAccruedInterest=531.6176504109592]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 16 00:00:00 HST 2016] CalculatedFields [balance=21180.0, accruedInterest=4.618980821917809, runningAccruedInterest=536.236631232877]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Sep 20 00:00:00 HST 2016] CalculatedFields [balance=18687.0, accruedInterest=5.094127397260274, runningAccruedInterest=541.3307586301373]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sun Sep 25 00:00:00 HST 2016] CalculatedFields [balance=18817.0, accruedInterest=5.129565753424659, runningAccruedInterest=546.460324383562]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 30 00:00:00 HST 2016] CalculatedFields [balance=17392.0, accruedInterest=0.9482213698630138, runningAccruedInterest=547.4085457534251]
LineItem [description=A+, amount=135.0, type=Expense, date=Sat Oct 01 00:00:00 HST 2016] CalculatedFields [balance=17527.0, accruedInterest=1.911163287671233, runningAccruedInterest=549.3197090410963]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Mon Oct 03 00:00:00 HST 2016] CalculatedFields [balance=17647.0, accruedInterest=0.0, runningAccruedInterest=549.3197090410963]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Mon Oct 03 00:00:00 HST 2016] CalculatedFields [balance=20207.0, accruedInterest=2.2033934246575346, runningAccruedInterest=551.5231024657538]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Oct 05 00:00:00 HST 2016] CalculatedFields [balance=17714.0, accruedInterest=3.86310794520548, runningAccruedInterest=555.3862104109593]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sun Oct 09 00:00:00 HST 2016] CalculatedFields [balance=21714.0, accruedInterest=5.919295890410959, runningAccruedInterest=561.3055063013702]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 14 00:00:00 HST 2016] CalculatedFields [balance=20289.0, accruedInterest=1.1061673972602741, runningAccruedInterest=562.4116736986305]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Sat Oct 15 00:00:00 HST 2016] CalculatedFields [balance=20539.0, accruedInterest=5.5989876712328766, runningAccruedInterest=568.0106613698633]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Thu Oct 20 00:00:00 HST 2016] CalculatedFields [balance=18046.0, accruedInterest=4.919389041095891, runningAccruedInterest=572.9300504109592]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Tue Oct 25 00:00:00 HST 2016] CalculatedFields [balance=18176.0, accruedInterest=2.9728964383561647, runningAccruedInterest=575.9029468493154]
